Price,RUB,TRY,EGP,BRL,ARS,COP,ZAR,KRW
Ticker,USDRUB=X,USDTRY=X,USDEGP=X,USDBRL=X,USDARS=X,USDCOP=X,USDZAR=X,USDKRW=X
Date,,,,,,,,
2020-01-01 00:00:00+00:00,62.02830123901367,5.947800159454346,16.01229476928711,4.016786098480225,59.826629638671875,3279.760009765625,13.99590015411377,1153.75
2020-01-02 00:00:00+00:00,61.83000183105469,5.946300029754639,16.010299682617188,4.016300201416016,59.85862731933594,3279.760009765625,14.002920150756836,1153.969970703125
2020-01-03 00:00:00+00:00,61.69419860839844,5.955699920654297,16.00909996032715,4.023399829864502,59.79890060424805,3252.75,14.07800006866455,1157.1500244140625
2020-01-06 00:00:00+00:00,62.029998779296875,5.967959880828857,16.010499954223633,4.057000160217285,59.71159744262695,3256.89990234375,14.318249702453613,1165.8499755859375
2020-01-07 00:00:00+00:00,61.775001525878906,5.968999862670898,16.04439926147461,4.060400009155273,59.727386474609375,3244.4599609375,14.202699661254883,1167.4200439453125
2020-01-08 00:00:00+00:00,61.93090057373047,5.974370002746582,16.038799285888672,4.066199779510498,59.74829864501953,3274.25,14.355199813842773,1166.4599609375
2020-01-09 00:00:00+00:00,61.26190185546875,5.908899784088135,15.999699592590332,4.06279993057251,59.81370162963867,3240.25,14.156490325927734,1161.260009765625
2020-01-10 00:00:00+00:00,61.2661018371582,5.877299785614014,15.962699890136719,4.092100143432617,59.71711349487305,3255.14990234375,14.212900161743164,1157.81005859375
2020-01-13 00:00:00+00:00,61.005001068115234,5.875329971313477,15.82640266418457,4.070499897003174,59.54230499267578,3204.046875,14.33014965057373,1156.9300537109375
2020-01-14 00:00:00+00:00,61.1879997253418,5.865499973297119,15.900099754333496,4.1458001136779785,59.936100006103516,3269.0,14.378399848937988,1153.93994140625
2020-01-15 00:00:00+00:00,61.4025993347168,5.8871002197265625,15.848199844360352,4.13129997253418,59.9805908203125,3286.75,14.3996000289917,1157.050048828125
2020-01-16 00:00:00+00:00,61.344398498535156,5.875349998474121,15.82919979095459,4.174200057983398,59.86949920654297,3298.39990234375,14.378700256347656,1156.780029296875
2020-01-17 00:00:00+00:00,61.57749938964844,5.855100154876709,15.800399780273438,4.183599948883057,59.88740158081055,3321.10009765625,14.401769638061523,1158.77001953125
2020-01-20 00:00:00+00:00,61.56740188598633,5.890769958496094,15.80097770690918,4.161600112915039,59.9779167175293,3330.760009765625,14.477490425109863,1160.3599853515625
2020-01-21 00:00:00+00:00,61.568599700927734,5.91077995300293,15.753700256347656,4.188499927520752,59.9901008605957,3330.5,14.491800308227539,1157.5699462890625
2020-01-22 00:00:00+00:00,61.85969924926758,5.93310022354126,15.770010948181152,4.210899829864502,60.092098236083984,3354.35009765625,14.481900215148926,1168.739990234375
2020-01-23 00:00:00+00:00,61.87799835205078,5.9196600914001465,15.777047157287598,4.181300163269043,59.984798431396484,3329.75,14.329000473022461,1163.72998046875
2020-01-24 00:00:00+00:00,61.892799377441406,5.929200172424316,15.739999771118164,4.169099807739258,59.99290084838867,3359.570068359375,14.36769962310791,1167.5999755859375
2020-01-27 00:00:00+00:00,62.13100051879883,5.944779872894287,15.777992248535156,4.1595001220703125,60.00943374633789,3363.320068359375,14.449359893798828,1169.1500244140625
2020-01-28 00:00:00+00:00,62.89390182495117,5.942800045013428,15.76743221282959,4.206099987030029,60.07979965209961,3398.25,14.580300331115723,1176.72998046875
2020-01-29 00:00:00+00:00,62.21329879760742,5.940999984741211,15.776556968688965,4.193399906158447,60.092098236083984,3384.0,14.542799949645996,1174.280029296875
2020-01-30 00:00:00+00:00,62.51649856567383,5.95665979385376,15.776100158691406,4.228899955749512,60.1593017578125,3385.800048828125,14.591699600219727,1178.0799560546875
2020-01-31 00:00:00+00:00,63.19609832763672,5.97415018081665,15.772199630737305,4.242199897766113,60.16569900512695,3413.25,14.74020004272461,1187.1199951171875
2020-02-03 00:00:00+00:00,63.89030075073242,5.975039958953857,15.784727096557617,4.282599925994873,60.291996002197266,3418.320068359375,14.99740982055664,1194.8699951171875
2020-02-04 00:00:00+00:00,63.653099060058594,5.98360013961792,15.805721282958984,4.246799945831299,60.410301208496094,3393.75,14.866399765014648,1189.3599853515625
2020-02-05 00:00:00+00:00,62.92620086669922,5.977719783782959,15.778894424438477,4.253699779510498,60.51138687133789,3392.6298828125,14.76749038696289,1182.47998046875
2020-02-06 00:00:00+00:00,62.83879852294922,5.980899810791016,15.74940013885498,4.23360013961792,60.532798767089844,3363.050048828125,14.741999626159668,1183.4599609375
2020-02-07 00:00:00+00:00,63.27000045776367,5.98769998550415,15.736988067626953,4.280799865722656,60.59600067138672,3378.699951171875,14.903329849243164,1184.25
2020-02-10 00:00:00+00:00,64.12930297851562,5.986939907073975,15.75128173828125,4.320400238037109,60.670989990234375,3408.47998046875,15.071000099182129,1191.0899658203125
2020-02-11 00:00:00+00:00,64.07830047607422,6.00570011138916,15.699600219726562,4.320974826812744,60.892601013183594,3454.75,14.953499794006348,1185.6300048828125
2020-02-12 00:00:00+00:00,63.32429885864258,6.015999794006348,15.695252418518066,4.327530860900879,61.06060028076172,3418.60009765625,14.791600227355957,1180.719970703125
2020-02-13 00:00:00+00:00,63.198001861572266,6.0441999435424805,15.697500228881836,4.354499816894531,61.12919998168945,3386.25,14.865500450134277,1177.9599609375
2020-02-14 00:00:00+00:00,63.634498596191406,6.039700031280518,15.67020034790039,4.346766948699951,61.30350112915039,3374.800048828125,14.904959678649902,1183.469970703125
